year,Netta
1880,6
1881,5
1882,6
1883,8
1884,6
1885,0
1886,5
1887,8
1888,6
1889,12
1890,10
1891,8
1892,8
1893,6
1894,9
1895,8
1896,10
1897,7
1898,0
1899,6
1900,0
1901,0
1902,9
1903,5
1904,5
1905,11
1906,10
1907,6
1908,6
1909,0
1910,8
1911,7
1912,9
1913,16
1914,15
1915,18
1916,11
1917,16
1918,22
1919,14
1920,13
1921,14
1922,23
1923,18
1924,15
1925,14
1926,17
1927,18
1928,9
1929,14
1930,17
1931,10
1932,12
1933,13
1934,14
1935,13
1936,9
1937,5
1938,9
1939,12
1940,11
1941,17
1942,11
1943,9
1944,9
1945,7
1946,14
1947,11
1948,17
1949,15
1950,19
1951,5
1952,11
1953,20
1954,9
1955,13
1956,17
1957,9
1958,17
1959,9
1960,15
1961,6
1962,0
1963,8
1964,7
1965,8
1966,7
1967,6
1968,6
1969,5
1970,7
1971,0
1972,0
1973,0
1974,5
1975,0
1976,5
1977,6
1978,0
1979,0
1980,0
1981,6
1982,0
1983,0
1984,0
1985,0
1986,5
1987,6
1988,6
1989,5
1990,8
1991,9
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,8
2005,6
2006,0
2007,7
2008,5
2009,8
2010,0
2011,0
2012,7
