year,Nelly
1880,0
1881,0
1882,10
1883,8
1884,0
1885,9
1886,5
1887,9
1888,9
1889,0
1890,8
1891,0
1892,5
1893,5
1894,0
1895,6
1896,0
1897,6
1898,0
1899,0
1900,0
1901,9
1902,8
1903,8
1904,6
1905,5
1906,7
1907,7
1908,5
1909,7
1910,7
1911,0
1912,7
1913,14
1914,13
1915,18
1916,10
1917,24
1918,20
1919,17
1920,21
1921,20
1922,18
1923,22
1924,19
1925,26
1926,28
1927,17
1928,24
1929,15
1930,26
1931,20
1932,13
1933,14
1934,17
1935,14
1936,9
1937,19
1938,9
1939,21
1940,22
1941,9
1942,20
1943,12
1944,9
1945,15
1946,7
1947,28
1948,17
1949,21
1950,21
1951,19
1952,28
1953,30
1954,36
1955,57
1956,54
1957,37
1958,46
1959,56
1960,62
1961,39
1962,45
1963,42
1964,44
1965,35
1966,37
1967,42
1968,44
1969,37
1970,48
1971,48
1972,47
1973,54
1974,77
1975,62
1976,77
1977,73
1978,85
1979,62
1980,70
1981,80
1982,85
1983,69
1984,68
1985,83
1986,69
1987,79
1988,92
1989,73
1990,103
1991,91
1992,126
1993,97
1994,107
1995,96
1996,104
1997,84
1998,79
1999,84
2000,113
2001,119
2002,149
2003,166
2004,156
2005,157
2006,165
2007,213
2008,194
2009,193
2010,168
2011,147
2012,159
