year,Neville
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,7
1906,0
1907,0
1908,0
1909,10
1910,0
1911,5
1912,11
1913,8
1914,21
1915,11
1916,31
1917,23
1918,33
1919,29
1920,24
1921,24
1922,26
1923,25
1924,16
1925,32
1926,26
1927,33
1928,28
1929,26
1930,26
1931,19
1932,21
1933,41
1934,17
1935,11
1936,22
1937,25
1938,28
1939,22
1940,21
1941,19
1942,22
1943,20
1944,12
1945,9
1946,18
1947,18
1948,15
1949,17
1950,19
1951,19
1952,19
1953,20
1954,15
1955,20
1956,20
1957,17
1958,25
1959,25
1960,24
1961,21
1962,20
1963,27
1964,35
1965,22
1966,25
1967,24
1968,17
1969,24
1970,32
1971,33
1972,25
1973,19
1974,27
1975,42
1976,27
1977,27
1978,17
1979,23
1980,31
1981,22
1982,26
1983,28
1984,37
1985,19
1986,22
1987,28
1988,29
1989,25
1990,30
1991,36
1992,31
1993,26
1994,26
1995,18
1996,25
1997,20
1998,16
1999,19
2000,15
2001,11
2002,16
2003,14
2004,17
2005,18
2006,9
2007,15
2008,9
2009,11
2010,15
2011,8
2012,19
