year,Newell
1880,0
1881,14
1882,5
1883,10
1884,8
1885,7
1886,8
1887,5
1888,5
1889,0
1890,8
1891,7
1892,8
1893,8
1894,0
1895,8
1896,0
1897,9
1898,11
1899,10
1900,9
1901,13
1902,6
1903,13
1904,10
1905,7
1906,9
1907,15
1908,13
1909,0
1910,13
1911,24
1912,41
1913,59
1914,67
1915,88
1916,105
1917,75
1918,92
1919,74
1920,81
1921,78
1922,77
1923,90
1924,73
1925,67
1926,80
1927,69
1928,76
1929,62
1930,61
1931,54
1932,49
1933,58
1934,42
1935,45
1936,60
1937,52
1938,51
1939,39
1940,53
1941,55
1942,53
1943,62
1944,49
1945,32
1946,47
1947,47
1948,37
1949,24
1950,34
1951,42
1952,41
1953,33
1954,29
1955,32
1956,29
1957,19
1958,24
1959,28
1960,17
1961,15
1962,23
1963,18
1964,16
1965,15
1966,16
1967,16
1968,12
1969,15
1970,24
1971,18
1972,8
1973,14
1974,9
1975,9
1976,5
1977,11
1978,8
1979,6
1980,9
1981,0
1982,8
1983,5
1984,0
1985,9
1986,5
1987,6
1988,5
1989,7
1990,8
1991,9
1992,0
1993,9
1994,0
1995,5
1996,0
1997,5
1998,7
1999,8
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,10
2010,5
2011,0
2012,0
