year,Nena
1880,8
1881,6
1882,9
1883,5
1884,8
1885,0
1886,10
1887,8
1888,13
1889,6
1890,5
1891,8
1892,13
1893,15
1894,13
1895,12
1896,13
1897,9
1898,7
1899,13
1900,16
1901,8
1902,6
1903,11
1904,12
1905,8
1906,7
1907,9
1908,13
1909,7
1910,9
1911,11
1912,19
1913,24
1914,19
1915,31
1916,20
1917,29
1918,27
1919,29
1920,25
1921,31
1922,40
1923,33
1924,30
1925,25
1926,26
1927,26
1928,30
1929,26
1930,21
1931,21
1932,31
1933,18
1934,24
1935,15
1936,23
1937,20
1938,19
1939,32
1940,20
1941,26
1942,29
1943,31
1944,27
1945,27
1946,34
1947,50
1948,36
1949,28
1950,47
1951,72
1952,65
1953,68
1954,104
1955,96
1956,85
1957,104
1958,95
1959,91
1960,85
1961,72
1962,96
1963,112
1964,89
1965,86
1966,65
1967,57
1968,60
1969,56
1970,47
1971,48
1972,47
1973,61
1974,43
1975,50
1976,54
1977,29
1978,31
1979,48
1980,106
1981,74
1982,71
1983,45
1984,108
1985,52
1986,53
1987,47
1988,45
1989,39
1990,35
1991,34
1992,33
1993,30
1994,32
1995,31
1996,36
1997,34
1998,27
1999,30
2000,32
2001,31
2002,38
2003,23
2004,40
2005,37
2006,27
2007,37
2008,26
2009,25
2010,27
2011,22
2012,23
