year,Neoma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,6
1887,5
1888,5
1889,7
1890,5
1891,0
1892,8
1893,5
1894,7
1895,9
1896,12
1897,9
1898,15
1899,8
1900,17
1901,14
1902,11
1903,21
1904,24
1905,20
1906,16
1907,33
1908,17
1909,22
1910,24
1911,31
1912,38
1913,44
1914,63
1915,71
1916,70
1917,67
1918,94
1919,90
1920,93
1921,85
1922,96
1923,96
1924,110
1925,92
1926,76
1927,78
1928,95
1929,79
1930,81
1931,65
1932,59
1933,59
1934,62
1935,73
1936,54
1937,51
1938,59
1939,51
1940,47
1941,49
1942,34
1943,43
1944,35
1945,24
1946,28
1947,40
1948,18
1949,26
1950,33
1951,11
1952,16
1953,15
1954,21
1955,9
1956,15
1957,11
1958,9
1959,9
1960,7
1961,16
1962,6
1963,6
1964,9
1965,0
1966,6
1967,5
1968,0
1969,0
1970,13
1971,10
1972,10
1973,5
1974,8
1975,0
1976,11
1977,7
1978,11
1979,13
1980,8
1981,5
1982,0
1983,0
1984,5
1985,0
1986,7
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,8
2000,6
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,5
2008,0
2009,5
2010,0
2011,8
2012,6
