year,Nathanial
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,10
1909,6
1910,0
1911,7
1912,7
1913,7
1914,21
1915,12
1916,18
1917,18
1918,26
1919,18
1920,17
1921,21
1922,17
1923,8
1924,13
1925,18
1926,22
1927,23
1928,15
1929,8
1930,19
1931,13
1932,15
1933,19
1934,15
1935,17
1936,12
1937,21
1938,16
1939,10
1940,18
1941,9
1942,8
1943,14
1944,7
1945,7
1946,7
1947,19
1948,11
1949,13
1950,18
1951,13
1952,14
1953,6
1954,9
1955,14
1956,12
1957,8
1958,10
1959,14
1960,14
1961,14
1962,21
1963,14
1964,20
1965,22
1966,18
1967,16
1968,17
1969,28
1970,37
1971,42
1972,42
1973,44
1974,76
1975,91
1976,116
1977,124
1978,179
1979,176
1980,190
1981,178
1982,200
1983,180
1984,193
1985,217
1986,210
1987,185
1988,208
1989,216
1990,242
1991,260
1992,281
1993,262
1994,286
1995,311
1996,275
1997,339
1998,368
1999,371
2000,341
2001,292
2002,307
2003,326
2004,293
2005,286
2006,296
2007,262
2008,219
2009,193
2010,182
2011,127
2012,96
