year,Nada
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,5
1895,7
1896,8
1897,9
1898,5
1899,6
1900,10
1901,9
1902,6
1903,0
1904,10
1905,9
1906,5
1907,8
1908,12
1909,12
1910,18
1911,5
1912,16
1913,15
1914,21
1915,30
1916,34
1917,45
1918,33
1919,33
1920,35
1921,53
1922,49
1923,57
1924,58
1925,52
1926,73
1927,59
1928,67
1929,53
1930,69
1931,72
1932,71
1933,60
1934,72
1935,52
1936,61
1937,53
1938,51
1939,41
1940,48
1941,46
1942,48
1943,47
1944,46
1945,37
1946,39
1947,48
1948,27
1949,46
1950,51
1951,47
1952,39
1953,56
1954,46
1955,39
1956,48
1957,44
1958,43
1959,44
1960,47
1961,31
1962,26
1963,30
1964,29
1965,27
1966,23
1967,20
1968,24
1969,34
1970,35
1971,29
1972,29
1973,22
1974,33
1975,29
1976,22
1977,30
1978,23
1979,25
1980,37
1981,35
1982,29
1983,33
1984,24
1985,22
1986,38
1987,21
1988,35
1989,45
1990,28
1991,38
1992,44
1993,49
1994,51
1995,32
1996,47
1997,49
1998,56
1999,77
2000,77
2001,66
2002,74
2003,57
2004,51
2005,46
2006,63
2007,51
2008,48
2009,66
2010,62
2011,51
2012,72
