year,Nathen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,8
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,0
1915,9
1916,10
1917,7
1918,9
1919,5
1920,7
1921,12
1922,15
1923,11
1924,6
1925,5
1926,12
1927,7
1928,9
1929,8
1930,11
1931,0
1932,9
1933,11
1934,12
1935,11
1936,7
1937,8
1938,9
1939,0
1940,7
1941,0
1942,6
1943,5
1944,0
1945,9
1946,0
1947,13
1948,5
1949,6
1950,12
1951,7
1952,8
1953,0
1954,11
1955,6
1956,7
1957,10
1958,9
1959,13
1960,10
1961,11
1962,9
1963,10
1964,10
1965,9
1966,5
1967,10
1968,16
1969,12
1970,13
1971,20
1972,23
1973,31
1974,28
1975,39
1976,52
1977,54
1978,47
1979,56
1980,82
1981,82
1982,89
1983,72
1984,68
1985,81
1986,82
1987,87
1988,100
1989,97
1990,107
1991,114
1992,86
1993,90
1994,106
1995,114
1996,110
1997,124
1998,148
1999,173
2000,182
2001,196
2002,194
2003,190
2004,235
2005,253
2006,255
2007,226
2008,244
2009,210
2010,160
2011,162
2012,162
