year,Nicolasa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,5
1894,8
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,8
1902,0
1903,0
1904,0
1905,0
1906,8
1907,8
1908,5
1909,0
1910,6
1911,6
1912,5
1913,6
1914,16
1915,20
1916,10
1917,16
1918,12
1919,28
1920,43
1921,33
1922,36
1923,24
1924,24
1925,28
1926,22
1927,22
1928,28
1929,28
1930,21
1931,25
1932,24
1933,19
1934,22
1935,18
1936,9
1937,10
1938,7
1939,7
1940,10
1941,10
1942,11
1943,9
1944,13
1945,12
1946,9
1947,16
1948,7
1949,14
1950,7
1951,13
1952,0
1953,12
1954,6
1955,6
1956,0
1957,7
1958,7
1959,0
1960,7
1961,0
1962,0
1963,0
1964,7
1965,9
1966,0
1967,0
1968,7
1969,7
1970,12
1971,8
1972,8
1973,7
1974,7
1975,12
1976,17
1977,6
1978,12
1979,10
1980,13
1981,8
1982,7
1983,13
1984,6
1985,8
1986,10
1987,0
1988,5
1989,0
1990,11
1991,15
1992,9
1993,7
1994,8
1995,10
1996,12
1997,0
1998,10
1999,7
2000,0
2001,7
2002,0
2003,6
2004,0
2005,5
2006,7
2007,0
2008,5
2009,5
2010,0
2011,0
2012,0
