year,Neva
1880,18
1881,15
1882,22
1883,22
1884,40
1885,40
1886,49
1887,45
1888,63
1889,61
1890,74
1891,74
1892,87
1893,116
1894,102
1895,122
1896,112
1897,124
1898,183
1899,131
1900,157
1901,120
1902,124
1903,121
1904,138
1905,141
1906,147
1907,137
1908,184
1909,163
1910,141
1911,168
1912,224
1913,289
1914,353
1915,472
1916,449
1917,487
1918,463
1919,415
1920,557
1921,463
1922,454
1923,407
1924,458
1925,390
1926,413
1927,426
1928,354
1929,371
1930,365
1931,369
1932,316
1933,313
1934,294
1935,301
1936,245
1937,280
1938,267
1939,238
1940,203
1941,229
1942,205
1943,165
1944,163
1945,169
1946,164
1947,206
1948,166
1949,160
1950,155
1951,156
1952,182
1953,239
1954,210
1955,180
1956,172
1957,195
1958,141
1959,135
1960,131
1961,129
1962,113
1963,122
1964,94
1965,79
1966,78
1967,75
1968,65
1969,64
1970,54
1971,46
1972,54
1973,69
1974,68
1975,47
1976,48
1977,50
1978,49
1979,50
1980,41
1981,42
1982,42
1983,38
1984,31
1985,31
1986,30
1987,34
1988,36
1989,28
1990,34
1991,32
1992,31
1993,32
1994,17
1995,19
1996,21
1997,29
1998,34
1999,37
2000,36
2001,42
2002,45
2003,55
2004,63
2005,62
2006,72
2007,84
2008,79
2009,93
2010,74
2011,93
2012,84
