year,Namon
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,6
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,7
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,7
1907,5
1908,0
1909,0
1910,0
1911,12
1912,13
1913,7
1914,16
1915,14
1916,18
1917,16
1918,19
1919,19
1920,20
1921,15
1922,24
1923,10
1924,23
1925,15
1926,18
1927,22
1928,12
1929,12
1930,18
1931,13
1932,13
1933,11
1934,22
1935,12
1936,16
1937,16
1938,17
1939,13
1940,14
1941,13
1942,25
1943,12
1944,9
1945,20
1946,11
1947,14
1948,19
1949,18
1950,15
1951,10
1952,9
1953,7
1954,15
1955,19
1956,10
1957,12
1958,15
1959,23
1960,10
1961,12
1962,10
1963,8
1964,10
1965,0
1966,15
1967,12
1968,9
1969,5
1970,10
1971,7
1972,7
1973,7
1974,14
1975,10
1976,5
1977,12
1978,7
1979,11
1980,8
1981,7
1982,10
1983,6
1984,7
1985,0
1986,9
1987,9
1988,13
1989,6
1990,8
1991,0
1992,0
1993,0
1994,8
1995,0
1996,6
1997,0
1998,0
1999,8
2000,0
2001,0
2002,5
2003,7
2004,0
2005,0
2006,7
2007,5
2008,5
2009,0
2010,5
2011,0
2012,6
