year,Nestor
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,5
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,5
1907,9
1908,7
1909,0
1910,7
1911,6
1912,12
1913,18
1914,24
1915,31
1916,29
1917,23
1918,21
1919,14
1920,19
1921,31
1922,14
1923,26
1924,26
1925,27
1926,24
1927,30
1928,28
1929,32
1930,32
1931,21
1932,17
1933,18
1934,29
1935,24
1936,25
1937,13
1938,23
1939,15
1940,19
1941,19
1942,18
1943,22
1944,10
1945,20
1946,24
1947,28
1948,27
1949,28
1950,28
1951,22
1952,31
1953,40
1954,46
1955,34
1956,34
1957,56
1958,60
1959,54
1960,52
1961,56
1962,59
1963,52
1964,45
1965,42
1966,57
1967,56
1968,58
1969,60
1970,78
1971,67
1972,66
1973,78
1974,85
1975,56
1976,80
1977,73
1978,94
1979,90
1980,106
1981,98
1982,109
1983,108
1984,115
1985,139
1986,133
1987,173
1988,215
1989,254
1990,264
1991,300
1992,297
1993,290
1994,271
1995,253
1996,237
1997,201
1998,226
1999,247
2000,236
2001,218
2002,196
2003,189
2004,197
2005,226
2006,201
2007,209
2008,193
2009,157
2010,164
2011,123
2012,115
