year,Nila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,9
1892,8
1893,7
1894,0
1895,7
1896,0
1897,5
1898,8
1899,9
1900,11
1901,9
1902,8
1903,6
1904,14
1905,8
1906,6
1907,5
1908,18
1909,11
1910,21
1911,14
1912,22
1913,24
1914,38
1915,43
1916,38
1917,45
1918,50
1919,53
1920,61
1921,61
1922,64
1923,73
1924,73
1925,65
1926,68
1927,87
1928,72
1929,88
1930,86
1931,68
1932,73
1933,94
1934,118
1935,128
1936,101
1937,86
1938,87
1939,103
1940,85
1941,92
1942,106
1943,92
1944,72
1945,72
1946,86
1947,78
1948,78
1949,93
1950,78
1951,100
1952,84
1953,97
1954,96
1955,79
1956,92
1957,75
1958,71
1959,61
1960,66
1961,51
1962,43
1963,38
1964,31
1965,28
1966,37
1967,37
1968,21
1969,25
1970,19
1971,20
1972,28
1973,19
1974,22
1975,19
1976,20
1977,16
1978,16
1979,21
1980,18
1981,18
1982,25
1983,16
1984,17
1985,18
1986,18
1987,12
1988,18
1989,14
1990,12
1991,19
1992,9
1993,10
1994,18
1995,31
1996,28
1997,20
1998,33
1999,39
2000,38
2001,35
2002,46
2003,50
2004,50
2005,56
2006,66
2007,63
2008,67
2009,83
2010,61
2011,90
2012,99
