year,Yvette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,6
1901,0
1902,6
1903,8
1904,0
1905,0
1906,14
1907,7
1908,14
1909,13
1910,17
1911,18
1912,40
1913,50
1914,55
1915,89
1916,79
1917,117
1918,120
1919,115
1920,122
1921,124
1922,141
1923,151
1924,155
1925,160
1926,126
1927,160
1928,156
1929,131
1930,126
1931,106
1932,102
1933,105
1934,89
1935,83
1936,80
1937,73
1938,86
1939,94
1940,119
1941,190
1942,157
1943,151
1944,118
1945,165
1946,154
1947,231
1948,233
1949,221
1950,319
1951,337
1952,403
1953,470
1954,501
1955,564
1956,869
1957,794
1958,827
1959,1033
1960,1425
1961,1855
1962,1933
1963,2291
1964,2557
1965,2476
1966,2472
1967,2755
1968,2227
1969,2171
1970,2055
1971,1776
1972,1538
1973,1267
1974,1150
1975,1027
1976,1001
1977,957
1978,866
1979,869
1980,880
1981,814
1982,871
1983,748
1984,708
1985,686
1986,749
1987,754
1988,798
1989,753
1990,744
1991,781
1992,759
1993,611
1994,548
1995,515
1996,476
1997,398
1998,382
1999,332
2000,407
2001,393
2002,344
2003,321
2004,324
2005,303
2006,294
2007,244
2008,231
2009,190
2010,191
2011,193
2012,152
