year,Young
1880,14
1881,9
1882,9
1883,12
1884,11
1885,10
1886,10
1887,12
1888,6
1889,10
1890,7
1891,6
1892,7
1893,6
1894,5
1895,8
1896,6
1897,9
1898,7
1899,5
1900,8
1901,5
1902,11
1903,5
1904,6
1905,0
1906,0
1907,8
1908,6
1909,7
1910,7
1911,12
1912,15
1913,11
1914,18
1915,16
1916,21
1917,30
1918,25
1919,22
1920,26
1921,23
1922,32
1923,25
1924,21
1925,18
1926,18
1927,23
1928,16
1929,20
1930,23
1931,17
1932,21
1933,19
1934,14
1935,22
1936,26
1937,8
1938,19
1939,11
1940,13
1941,12
1942,16
1943,19
1944,24
1945,6
1946,22
1947,26
1948,25
1949,21
1950,26
1951,19
1952,30
1953,22
1954,31
1955,24
1956,23
1957,22
1958,23
1959,22
1960,21
1961,23
1962,18
1963,21
1964,22
1965,20
1966,8
1967,12
1968,19
1969,29
1970,14
1971,28
1972,28
1973,28
1974,28
1975,43
1976,35
1977,29
1978,43
1979,42
1980,33
1981,55
1982,46
1983,48
1984,48
1985,44
1986,45
1987,27
1988,36
1989,44
1990,45
1991,60
1992,49
1993,43
1994,48
1995,39
1996,29
1997,46
1998,26
1999,25
2000,22
2001,9
2002,13
2003,11
2004,11
2005,11
2006,0
2007,11
2008,9
2009,8
2010,6
2011,0
2012,10
