year,Yancy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,6
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,0
1914,0
1915,7
1916,15
1917,6
1918,18
1919,10
1920,10
1921,10
1922,12
1923,8
1924,7
1925,7
1926,7
1927,8
1928,14
1929,10
1930,0
1931,7
1932,5
1933,11
1934,8
1935,5
1936,0
1937,0
1938,12
1939,5
1940,11
1941,11
1942,7
1943,7
1944,5
1945,6
1946,11
1947,8
1948,5
1949,16
1950,9
1951,8
1952,5
1953,8
1954,9
1955,8
1956,6
1957,0
1958,24
1959,124
1960,67
1961,37
1962,51
1963,39
1964,42
1965,45
1966,43
1967,46
1968,50
1969,64
1970,67
1971,75
1972,68
1973,77
1974,72
1975,66
1976,51
1977,46
1978,43
1979,40
1980,49
1981,45
1982,40
1983,43
1984,42
1985,41
1986,45
1987,44
1988,39
1989,32
1990,43
1991,42
1992,55
1993,39
1994,30
1995,38
1996,40
1997,38
1998,44
1999,25
2000,34
2001,36
2002,38
2003,35
2004,32
2005,34
2006,29
2007,22
2008,30
2009,18
2010,17
2011,26
2012,19
