year,Wendall
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,9
1914,13
1915,13
1916,8
1917,15
1918,17
1919,16
1920,26
1921,29
1922,17
1923,21
1924,28
1925,36
1926,32
1927,38
1928,27
1929,35
1930,27
1931,25
1932,29
1933,19
1934,37
1935,32
1936,26
1937,20
1938,26
1939,25
1940,24
1941,20
1942,29
1943,26
1944,14
1945,22
1946,27
1947,30
1948,24
1949,18
1950,27
1951,27
1952,43
1953,25
1954,31
1955,40
1956,40
1957,43
1958,55
1959,43
1960,42
1961,49
1962,48
1963,45
1964,45
1965,36
1966,47
1967,55
1968,32
1969,32
1970,29
1971,30
1972,36
1973,25
1974,19
1975,20
1976,24
1977,19
1978,12
1979,15
1980,17
1981,16
1982,14
1983,15
1984,15
1985,25
1986,12
1987,23
1988,18
1989,16
1990,17
1991,11
1992,8
1993,17
1994,19
1995,13
1996,13
1997,13
1998,5
1999,5
2000,12
2001,11
2002,8
2003,8
2004,9
2005,6
2006,9
2007,10
2008,10
2009,11
2010,0
2011,0
2012,0
