year,Wanita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,7
1904,0
1905,0
1906,0
1907,7
1908,0
1909,0
1910,8
1911,12
1912,8
1913,8
1914,8
1915,33
1916,25
1917,40
1918,44
1919,35
1920,46
1921,44
1922,44
1923,56
1924,71
1925,51
1926,51
1927,44
1928,47
1929,52
1930,53
1931,53
1932,36
1933,41
1934,33
1935,41
1936,46
1937,43
1938,30
1939,37
1940,33
1941,46
1942,31
1943,44
1944,35
1945,26
1946,39
1947,25
1948,41
1949,37
1950,32
1951,33
1952,26
1953,29
1954,24
1955,43
1956,28
1957,33
1958,38
1959,24
1960,31
1961,41
1962,31
1963,22
1964,26
1965,20
1966,25
1967,22
1968,19
1969,22
1970,31
1971,22
1972,24
1973,21
1974,19
1975,22
1976,19
1977,11
1978,16
1979,11
1980,15
1981,13
1982,12
1983,14
1984,11
1985,6
1986,11
1987,8
1988,8
1989,5
1990,0
1991,6
1992,7
1993,7
1994,5
1995,5
1996,9
1997,9
1998,0
1999,6
2000,8
2001,5
2002,6
2003,6
2004,0
2005,0
2006,0
2007,7
2008,5
2009,0
2010,8
2011,0
2012,6
