year,Wilhelmina
1880,36
1881,49
1882,62
1883,54
1884,77
1885,76
1886,66
1887,77
1888,88
1889,95
1890,98
1891,103
1892,110
1893,119
1894,94
1895,97
1896,103
1897,79
1898,106
1899,109
1900,114
1901,107
1902,112
1903,105
1904,98
1905,112
1906,109
1907,112
1908,140
1909,128
1910,143
1911,141
1912,191
1913,201
1914,216
1915,301
1916,320
1917,279
1918,239
1919,210
1920,214
1921,229
1922,216
1923,228
1924,197
1925,227
1926,183
1927,190
1928,174
1929,179
1930,169
1931,132
1932,139
1933,129
1934,135
1935,116
1936,92
1937,108
1938,108
1939,123
1940,105
1941,82
1942,98
1943,105
1944,88
1945,86
1946,93
1947,107
1948,113
1949,77
1950,123
1951,126
1952,92
1953,88
1954,96
1955,89
1956,89
1957,83
1958,54
1959,64
1960,58
1961,52
1962,51
1963,59
1964,57
1965,54
1966,39
1967,45
1968,27
1969,33
1970,34
1971,42
1972,21
1973,16
1974,17
1975,16
1976,12
1977,19
1978,14
1979,24
1980,17
1981,15
1982,19
1983,15
1984,11
1985,14
1986,11
1987,8
1988,12
1989,10
1990,13
1991,13
1992,18
1993,11
1994,10
1995,11
1996,15
1997,16
1998,9
1999,15
2000,11
2001,14
2002,21
2003,18
2004,14
2005,19
2006,15
2007,31
2008,23
2009,28
2010,41
2011,55
2012,63
