year,Waldo
1880,10
1881,23
1882,16
1883,6
1884,7
1885,17
1886,8
1887,14
1888,15
1889,18
1890,22
1891,15
1892,22
1893,19
1894,17
1895,20
1896,14
1897,22
1898,21
1899,24
1900,22
1901,15
1902,22
1903,22
1904,25
1905,24
1906,18
1907,27
1908,36
1909,17
1910,36
1911,44
1912,79
1913,116
1914,124
1915,174
1916,154
1917,164
1918,163
1919,124
1920,149
1921,159
1922,149
1923,139
1924,162
1925,121
1926,132
1927,124
1928,110
1929,116
1930,114
1931,96
1932,95
1933,85
1934,76
1935,70
1936,92
1937,63
1938,63
1939,65
1940,57
1941,51
1942,63
1943,58
1944,43
1945,38
1946,46
1947,47
1948,41
1949,28
1950,38
1951,38
1952,41
1953,43
1954,34
1955,39
1956,42
1957,30
1958,25
1959,30
1960,30
1961,38
1962,25
1963,43
1964,31
1965,26
1966,20
1967,17
1968,23
1969,24
1970,10
1971,19
1972,15
1973,13
1974,19
1975,10
1976,17
1977,18
1978,14
1979,19
1980,15
1981,12
1982,16
1983,24
1984,16
1985,17
1986,15
1987,16
1988,25
1989,29
1990,19
1991,19
1992,18
1993,13
1994,12
1995,15
1996,13
1997,17
1998,15
1999,13
2000,12
2001,12
2002,10
2003,14
2004,13
2005,8
2006,10
2007,10
2008,12
2009,12
2010,10
2011,0
2012,8
