year,Woody
1880,0
1881,0
1882,5
1883,7
1884,8
1885,0
1886,7
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,5
1912,15
1913,14
1914,17
1915,21
1916,23
1917,28
1918,26
1919,6
1920,21
1921,15
1922,22
1923,15
1924,21
1925,17
1926,24
1927,22
1928,22
1929,27
1930,22
1931,19
1932,20
1933,35
1934,24
1935,35
1936,24
1937,42
1938,41
1939,49
1940,67
1941,84
1942,68
1943,98
1944,105
1945,101
1946,116
1947,109
1948,82
1949,84
1950,85
1951,83
1952,86
1953,96
1954,72
1955,79
1956,85
1957,83
1958,65
1959,78
1960,74
1961,80
1962,71
1963,73
1964,57
1965,56
1966,43
1967,37
1968,46
1969,41
1970,53
1971,53
1972,57
1973,36
1974,46
1975,39
1976,42
1977,65
1978,47
1979,34
1980,29
1981,32
1982,26
1983,20
1984,27
1985,34
1986,31
1987,26
1988,28
1989,34
1990,31
1991,29
1992,21
1993,27
1994,19
1995,24
1996,20
1997,13
1998,9
1999,18
2000,15
2001,9
2002,10
2003,8
2004,10
2005,14
2006,9
2007,0
2008,9
2009,8
2010,8
2011,9
2012,9
