year,Worth
1880,8
1881,7
1882,7
1883,0
1884,7
1885,0
1886,5
1887,0
1888,11
1889,0
1890,8
1891,6
1892,6
1893,7
1894,5
1895,8
1896,7
1897,5
1898,14
1899,10
1900,13
1901,0
1902,0
1903,11
1904,7
1905,8
1906,6
1907,8
1908,6
1909,8
1910,10
1911,13
1912,35
1913,36
1914,31
1915,53
1916,58
1917,47
1918,67
1919,65
1920,59
1921,53
1922,55
1923,48
1924,57
1925,52
1926,48
1927,45
1928,33
1929,38
1930,32
1931,41
1932,25
1933,35
1934,31
1935,33
1936,27
1937,40
1938,16
1939,23
1940,13
1941,17
1942,24
1943,27
1944,26
1945,18
1946,25
1947,21
1948,20
1949,24
1950,20
1951,24
1952,17
1953,22
1954,16
1955,20
1956,11
1957,16
1958,10
1959,9
1960,17
1961,13
1962,14
1963,10
1964,10
1965,0
1966,6
1967,16
1968,9
1969,5
1970,8
1971,8
1972,5
1973,6
1974,5
1975,7
1976,9
1977,5
1978,7
1979,0
1980,5
1981,7
1982,7
1983,5
1984,6
1985,8
1986,11
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,7
1995,0
1996,6
1997,0
1998,0
1999,0
2000,6
2001,6
2002,0
2003,8
2004,0
2005,0
2006,0
2007,0
2008,0
2009,11
2010,0
2011,10
2012,10
