year,Wilda
1880,11
1881,0
1882,6
1883,11
1884,9
1885,10
1886,14
1887,13
1888,24
1889,25
1890,19
1891,14
1892,31
1893,22
1894,35
1895,31
1896,37
1897,38
1898,49
1899,33
1900,48
1901,38
1902,50
1903,49
1904,60
1905,64
1906,48
1907,58
1908,66
1909,53
1910,77
1911,89
1912,137
1913,133
1914,177
1915,261
1916,283
1917,307
1918,332
1919,310
1920,331
1921,327
1922,370
1923,350
1924,361
1925,394
1926,411
1927,390
1928,361
1929,347
1930,340
1931,276
1932,307
1933,288
1934,260
1935,257
1936,239
1937,230
1938,215
1939,216
1940,205
1941,185
1942,208
1943,182
1944,177
1945,144
1946,156
1947,147
1948,143
1949,152
1950,118
1951,118
1952,107
1953,124
1954,98
1955,89
1956,95
1957,96
1958,86
1959,63
1960,62
1961,42
1962,68
1963,53
1964,37
1965,59
1966,36
1967,33
1968,17
1969,23
1970,19
1971,14
1972,21
1973,26
1974,9
1975,17
1976,14
1977,10
1978,7
1979,17
1980,7
1981,9
1982,15
1983,11
1984,7
1985,8
1986,7
1987,5
1988,5
1989,7
1990,12
1991,5
1992,7
1993,9
1994,5
1995,6
1996,8
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
