year,Walton
1880,7
1881,10
1882,8
1883,14
1884,0
1885,0
1886,12
1887,5
1888,12
1889,12
1890,10
1891,12
1892,18
1893,14
1894,10
1895,11
1896,8
1897,9
1898,15
1899,12
1900,14
1901,10
1902,13
1903,16
1904,8
1905,14
1906,13
1907,12
1908,17
1909,17
1910,23
1911,24
1912,50
1913,53
1914,87
1915,124
1916,110
1917,120
1918,114
1919,124
1920,122
1921,128
1922,156
1923,134
1924,111
1925,97
1926,106
1927,85
1928,79
1929,81
1930,80
1931,84
1932,80
1933,93
1934,68
1935,74
1936,71
1937,66
1938,61
1939,66
1940,62
1941,73
1942,73
1943,83
1944,86
1945,59
1946,72
1947,78
1948,57
1949,61
1950,68
1951,72
1952,52
1953,60
1954,70
1955,55
1956,49
1957,55
1958,47
1959,40
1960,42
1961,58
1962,27
1963,32
1964,32
1965,35
1966,32
1967,37
1968,24
1969,30
1970,37
1971,36
1972,24
1973,22
1974,21
1975,32
1976,34
1977,16
1978,25
1979,24
1980,17
1981,15
1982,21
1983,22
1984,14
1985,20
1986,19
1987,21
1988,18
1989,17
1990,15
1991,17
1992,14
1993,11
1994,18
1995,19
1996,10
1997,16
1998,18
1999,19
2000,15
2001,16
2002,17
2003,29
2004,24
2005,15
2006,22
2007,17
2008,17
2009,15
2010,8
2011,14
2012,20
