year,Wylie
1880,12
1881,10
1882,8
1883,10
1884,10
1885,13
1886,13
1887,15
1888,13
1889,11
1890,9
1891,5
1892,7
1893,9
1894,14
1895,18
1896,13
1897,12
1898,14
1899,0
1900,17
1901,0
1902,10
1903,7
1904,8
1905,16
1906,6
1907,11
1908,19
1909,22
1910,17
1911,19
1912,25
1913,34
1914,40
1915,53
1916,50
1917,51
1918,56
1919,61
1920,63
1921,49
1922,53
1923,56
1924,76
1925,55
1926,48
1927,51
1928,40
1929,63
1930,56
1931,51
1932,59
1933,38
1934,51
1935,61
1936,62
1937,50
1938,54
1939,50
1940,50
1941,57
1942,48
1943,50
1944,49
1945,51
1946,39
1947,55
1948,44
1949,37
1950,47
1951,38
1952,40
1953,43
1954,33
1955,46
1956,46
1957,37
1958,27
1959,33
1960,30
1961,39
1962,30
1963,38
1964,21
1965,33
1966,44
1967,29
1968,27
1969,27
1970,32
1971,49
1972,39
1973,26
1974,23
1975,35
1976,17
1977,31
1978,26
1979,21
1980,35
1981,23
1982,15
1983,23
1984,29
1985,23
1986,25
1987,30
1988,30
1989,20
1990,28
1991,25
1992,29
1993,40
1994,30
1995,28
1996,40
1997,34
1998,49
1999,58
2000,55
2001,55
2002,57
2003,57
2004,54
2005,59
2006,83
2007,73
2008,94
2009,85
2010,85
2011,83
2012,100
