year,Willia
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,8
1890,8
1891,7
1892,12
1893,10
1894,11
1895,13
1896,12
1897,10
1898,13
1899,7
1900,9
1901,10
1902,35
1903,12
1904,14
1905,26
1906,13
1907,15
1908,20
1909,23
1910,32
1911,26
1912,25
1913,41
1914,38
1915,57
1916,68
1917,68
1918,56
1919,68
1920,78
1921,62
1922,86
1923,79
1924,80
1925,74
1926,91
1927,81
1928,102
1929,72
1930,72
1931,75
1932,76
1933,64
1934,71
1935,84
1936,80
1937,55
1938,75
1939,90
1940,84
1941,61
1942,87
1943,55
1944,79
1945,82
1946,64
1947,66
1948,75
1949,55
1950,56
1951,48
1952,48
1953,47
1954,54
1955,55
1956,30
1957,35
1958,48
1959,30
1960,22
1961,12
1962,18
1963,18
1964,21
1965,17
1966,18
1967,17
1968,18
1969,17
1970,16
1971,18
1972,8
1973,5
1974,8
1975,6
1976,7
1977,5
1978,7
1979,7
1980,11
1981,5
1982,11
1983,8
1984,12
1985,16
1986,20
1987,16
1988,12
1989,8
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
