year,Williams
1880,11
1881,7
1882,7
1883,13
1884,11
1885,11
1886,13
1887,13
1888,9
1889,6
1890,10
1891,7
1892,16
1893,7
1894,12
1895,10
1896,9
1897,14
1898,12
1899,9
1900,15
1901,11
1902,11
1903,9
1904,15
1905,12
1906,12
1907,11
1908,18
1909,20
1910,15
1911,22
1912,31
1913,21
1914,45
1915,53
1916,55
1917,44
1918,55
1919,45
1920,73
1921,51
1922,53
1923,55
1924,64
1925,48
1926,67
1927,68
1928,66
1929,58
1930,74
1931,55
1932,57
1933,42
1934,56
1935,64
1936,41
1937,58
1938,50
1939,50
1940,73
1941,47
1942,54
1943,50
1944,55
1945,47
1946,64
1947,60
1948,60
1949,64
1950,87
1951,57
1952,47
1953,51
1954,50
1955,74
1956,59
1957,64
1958,65
1959,60
1960,54
1961,66
1962,45
1963,56
1964,47
1965,53
1966,47
1967,45
1968,46
1969,52
1970,39
1971,58
1972,46
1973,33
1974,52
1975,42
1976,43
1977,28
1978,37
1979,33
1980,41
1981,34
1982,44
1983,33
1984,35
1985,33
1986,43
1987,47
1988,44
1989,39
1990,69
1991,44
1992,54
1993,59
1994,51
1995,29
1996,46
1997,47
1998,42
1999,53
2000,48
2001,63
2002,62
2003,58
2004,52
2005,53
2006,57
2007,63
2008,68
2009,56
2010,36
2011,44
2012,46
