year,Wendell
1880,6
1881,8
1882,0
1883,7
1884,11
1885,9
1886,12
1887,8
1888,17
1889,5
1890,11
1891,8
1892,21
1893,11
1894,21
1895,23
1896,18
1897,24
1898,23
1899,22
1900,30
1901,18
1902,38
1903,22
1904,32
1905,31
1906,40
1907,42
1908,63
1909,50
1910,69
1911,94
1912,212
1913,252
1914,350
1915,491
1916,515
1917,466
1918,519
1919,473
1920,555
1921,592
1922,609
1923,623
1924,633
1925,688
1926,643
1927,633
1928,664
1929,652
1930,678
1931,651
1932,655
1933,599
1934,618
1935,661
1936,628
1937,593
1938,585
1939,595
1940,1650
1941,1108
1942,860
1943,816
1944,701
1945,597
1946,626
1947,727
1948,687
1949,725
1950,854
1951,875
1952,887
1953,899
1954,975
1955,970
1956,1019
1957,1125
1958,1200
1959,1224
1960,1156
1961,1234
1962,1113
1963,1091
1964,1035
1965,873
1966,722
1967,683
1968,626
1969,577
1970,538
1971,532
1972,442
1973,389
1974,329
1975,328
1976,284
1977,295
1978,325
1979,280
1980,323
1981,298
1982,310
1983,286
1984,257
1985,247
1986,233
1987,212
1988,239
1989,229
1990,222
1991,193
1992,186
1993,186
1994,153
1995,160
1996,120
1997,116
1998,104
1999,114
2000,100
2001,94
2002,107
2003,90
2004,92
2005,83
2006,96
2007,79
2008,88
2009,73
2010,61
2011,52
2012,71
