year,Waymond
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,10
1915,10
1916,9
1917,12
1918,6
1919,11
1920,10
1921,17
1922,19
1923,9
1924,18
1925,11
1926,16
1927,15
1928,23
1929,23
1930,21
1931,17
1932,19
1933,14
1934,11
1935,20
1936,21
1937,16
1938,23
1939,15
1940,25
1941,27
1942,22
1943,18
1944,18
1945,17
1946,24
1947,27
1948,24
1949,32
1950,28
1951,30
1952,32
1953,43
1954,26
1955,29
1956,32
1957,25
1958,34
1959,24
1960,20
1961,21
1962,15
1963,26
1964,21
1965,24
1966,17
1967,17
1968,12
1969,17
1970,21
1971,19
1972,13
1973,17
1974,21
1975,12
1976,15
1977,18
1978,16
1979,15
1980,14
1981,7
1982,10
1983,8
1984,10
1985,8
1986,0
1987,13
1988,11
1989,6
1990,0
1991,9
1992,11
1993,7
1994,8
1995,0
1996,9
1997,6
1998,5
1999,0
2000,6
2001,0
2002,0
2003,5
2004,5
2005,6
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
