year,Waldemar
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,5
1894,0
1895,0
1896,6
1897,0
1898,6
1899,0
1900,0
1901,5
1902,5
1903,7
1904,0
1905,7
1906,10
1907,5
1908,7
1909,5
1910,7
1911,8
1912,9
1913,27
1914,36
1915,50
1916,46
1917,48
1918,47
1919,30
1920,39
1921,41
1922,38
1923,28
1924,45
1925,33
1926,32
1927,29
1928,34
1929,31
1930,22
1931,25
1932,23
1933,24
1934,14
1935,15
1936,16
1937,16
1938,12
1939,8
1940,8
1941,10
1942,11
1943,11
1944,6
1945,0
1946,7
1947,7
1948,5
1949,8
1950,8
1951,11
1952,13
1953,13
1954,9
1955,9
1956,0
1957,12
1958,7
1959,0
1960,9
1961,8
1962,5
1963,10
1964,8
1965,16
1966,11
1967,25
1968,8
1969,11
1970,11
1971,10
1972,11
1973,7
1974,7
1975,12
1976,6
1977,12
1978,7
1979,11
1980,12
1981,6
1982,10
1983,11
1984,15
1985,9
1986,6
1987,12
1988,6
1989,6
1990,13
1991,9
1992,10
1993,6
1994,9
1995,0
1996,9
1997,5
1998,9
1999,0
2000,6
2001,0
2002,9
2003,6
2004,5
2005,0
2006,5
2007,0
2008,8
2009,8
2010,6
2011,0
2012,0
