year,Welton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,9
1905,8
1906,0
1907,7
1908,6
1909,6
1910,9
1911,7
1912,23
1913,33
1914,23
1915,34
1916,46
1917,51
1918,44
1919,53
1920,64
1921,60
1922,56
1923,62
1924,67
1925,52
1926,43
1927,43
1928,43
1929,46
1930,32
1931,44
1932,36
1933,37
1934,47
1935,40
1936,31
1937,31
1938,35
1939,38
1940,37
1941,40
1942,36
1943,42
1944,34
1945,32
1946,37
1947,36
1948,45
1949,34
1950,44
1951,35
1952,41
1953,45
1954,30
1955,35
1956,41
1957,40
1958,33
1959,29
1960,27
1961,27
1962,21
1963,29
1964,27
1965,14
1966,16
1967,20
1968,15
1969,24
1970,19
1971,21
1972,12
1973,21
1974,18
1975,14
1976,13
1977,13
1978,10
1979,18
1980,7
1981,11
1982,12
1983,8
1984,11
1985,11
1986,8
1987,10
1988,10
1989,10
1990,13
1991,10
1992,5
1993,7
1994,0
1995,8
1996,0
1997,5
1998,5
1999,0
2000,6
2001,0
2002,7
2003,0
2004,0
2005,5
2006,0
2007,0
2008,6
2009,0
2010,7
2011,0
2012,0
