year,Wardell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,7
1897,0
1898,0
1899,0
1900,6
1901,0
1902,9
1903,0
1904,9
1905,0
1906,0
1907,5
1908,7
1909,15
1910,11
1911,11
1912,20
1913,22
1914,18
1915,33
1916,40
1917,40
1918,59
1919,51
1920,50
1921,52
1922,58
1923,48
1924,56
1925,60
1926,54
1927,62
1928,59
1929,65
1930,44
1931,43
1932,64
1933,60
1934,70
1935,71
1936,49
1937,52
1938,41
1939,51
1940,61
1941,64
1942,73
1943,65
1944,66
1945,66
1946,61
1947,67
1948,80
1949,84
1950,87
1951,75
1952,83
1953,68
1954,71
1955,81
1956,86
1957,68
1958,80
1959,79
1960,70
1961,57
1962,64
1963,50
1964,48
1965,47
1966,42
1967,34
1968,46
1969,37
1970,36
1971,38
1972,47
1973,35
1974,39
1975,38
1976,36
1977,28
1978,30
1979,28
1980,27
1981,22
1982,28
1983,28
1984,16
1985,23
1986,41
1987,21
1988,30
1989,22
1990,23
1991,14
1992,18
1993,14
1994,16
1995,12
1996,9
1997,14
1998,6
1999,9
2000,10
2001,10
2002,6
2003,8
2004,12
2005,5
2006,14
2007,5
2008,6
2009,11
2010,10
2011,5
2012,8
