year,Willian
1880,6
1881,9
1882,8
1883,8
1884,10
1885,5
1886,11
1887,9
1888,7
1889,8
1890,12
1891,5
1892,5
1893,7
1894,6
1895,0
1896,0
1897,5
1898,0
1899,6
1900,6
1901,0
1902,5
1903,0
1904,5
1905,5
1906,0
1907,8
1908,0
1909,0
1910,0
1911,7
1912,9
1913,12
1914,18
1915,29
1916,31
1917,24
1918,33
1919,31
1920,44
1921,44
1922,51
1923,51
1924,63
1925,68
1926,79
1927,64
1928,62
1929,84
1930,74
1931,77
1932,48
1933,47
1934,56
1935,53
1936,50
1937,44
1938,50
1939,61
1940,60
1941,67
1942,58
1943,74
1944,58
1945,68
1946,48
1947,42
1948,50
1949,31
1950,44
1951,38
1952,41
1953,38
1954,40
1955,40
1956,56
1957,43
1958,41
1959,37
1960,38
1961,37
1962,52
1963,48
1964,50
1965,28
1966,36
1967,37
1968,42
1969,48
1970,40
1971,30
1972,22
1973,23
1974,30
1975,19
1976,15
1977,24
1978,22
1979,20
1980,32
1981,27
1982,16
1983,27
1984,23
1985,27
1986,24
1987,13
1988,22
1989,14
1990,18
1991,18
1992,10
1993,13
1994,12
1995,12
1996,15
1997,9
1998,18
1999,13
2000,14
2001,17
2002,21
2003,25
2004,20
2005,31
2006,27
2007,22
2008,25
2009,30
2010,36
2011,38
2012,23
