year,Wilhelm
1880,6
1881,0
1882,6
1883,6
1884,6
1885,7
1886,0
1887,5
1888,0
1889,5
1890,5
1891,0
1892,5
1893,0
1894,6
1895,5
1896,0
1897,0
1898,0
1899,5
1900,5
1901,0
1902,8
1903,0
1904,6
1905,0
1906,6
1907,0
1908,5
1909,7
1910,8
1911,6
1912,11
1913,18
1914,26
1915,21
1916,35
1917,26
1918,17
1919,15
1920,16
1921,17
1922,7
1923,12
1924,12
1925,13
1926,7
1927,13
1928,10
1929,15
1930,14
1931,10
1932,17
1933,10
1934,12
1935,8
1936,13
1937,7
1938,8
1939,10
1940,15
1941,7
1942,6
1943,9
1944,6
1945,7
1946,0
1947,10
1948,0
1949,7
1950,9
1951,5
1952,17
1953,6
1954,12
1955,12
1956,12
1957,12
1958,15
1959,12
1960,18
1961,13
1962,19
1963,25
1964,18
1965,15
1966,9
1967,16
1968,15
1969,16
1970,26
1971,14
1972,14
1973,15
1974,8
1975,10
1976,9
1977,11
1978,11
1979,5
1980,11
1981,9
1982,20
1983,7
1984,11
1985,15
1986,9
1987,15
1988,16
1989,8
1990,14
1991,13
1992,12
1993,11
1994,13
1995,10
1996,9
1997,12
1998,13
1999,18
2000,13
2001,21
2002,22
2003,25
2004,21
2005,24
2006,17
2007,22
2008,20
2009,20
2010,26
2011,16
2012,24
