year,Willa
1880,12
1881,10
1882,15
1883,20
1884,16
1885,25
1886,31
1887,31
1888,39
1889,40
1890,51
1891,35
1892,51
1893,48
1894,43
1895,53
1896,67
1897,58
1898,60
1899,61
1900,84
1901,55
1902,64
1903,79
1904,91
1905,92
1906,97
1907,106
1908,99
1909,123
1910,134
1911,145
1912,180
1913,208
1914,251
1915,292
1916,316
1917,336
1918,425
1919,382
1920,424
1921,407
1922,416
1923,458
1924,472
1925,518
1926,535
1927,567
1928,500
1929,502
1930,512
1931,450
1932,520
1933,468
1934,486
1935,414
1936,454
1937,411
1938,368
1939,375
1940,374
1941,401
1942,420
1943,364
1944,371
1945,344
1946,300
1947,303
1948,244
1949,294
1950,256
1951,236
1952,276
1953,229
1954,227
1955,236
1956,185
1957,168
1958,165
1959,139
1960,149
1961,138
1962,135
1963,98
1964,109
1965,92
1966,76
1967,74
1968,42
1969,44
1970,50
1971,48
1972,34
1973,29
1974,27
1975,28
1976,24
1977,27
1978,32
1979,34
1980,24
1981,29
1982,26
1983,23
1984,37
1985,23
1986,30
1987,24
1988,32
1989,32
1990,27
1991,30
1992,31
1993,41
1994,47
1995,49
1996,35
1997,33
1998,46
1999,64
2000,56
2001,59
2002,97
2003,95
2004,99
2005,121
2006,116
2007,201
2008,247
2009,252
2010,269
2011,260
2012,384
