year,Willam
1880,13
1881,10
1882,8
1883,9
1884,11
1885,9
1886,13
1887,8
1888,11
1889,9
1890,6
1891,11
1892,13
1893,14
1894,0
1895,7
1896,10
1897,7
1898,10
1899,0
1900,7
1901,0
1902,8
1903,6
1904,9
1905,0
1906,10
1907,0
1908,12
1909,10
1910,10
1911,11
1912,15
1913,19
1914,28
1915,32
1916,31
1917,37
1918,39
1919,34
1920,43
1921,49
1922,60
1923,51
1924,63
1925,57
1926,51
1927,60
1928,59
1929,67
1930,60
1931,59
1932,58
1933,55
1934,41
1935,45
1936,53
1937,46
1938,39
1939,54
1940,51
1941,59
1942,53
1943,57
1944,58
1945,66
1946,46
1947,45
1948,37
1949,46
1950,39
1951,50
1952,40
1953,59
1954,52
1955,52
1956,64
1957,58
1958,63
1959,77
1960,62
1961,66
1962,47
1963,53
1964,39
1965,33
1966,43
1967,29
1968,20
1969,27
1970,24
1971,17
1972,20
1973,22
1974,15
1975,18
1976,25
1977,15
1978,13
1979,12
1980,16
1981,15
1982,19
1983,13
1984,20
1985,12
1986,13
1987,13
1988,14
1989,9
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,7
1998,0
1999,0
2000,9
2001,8
2002,12
2003,0
2004,8
2005,0
2006,11
2007,0
2008,8
2009,5
2010,0
2011,7
2012,7
