year,Wheeler
1880,13
1881,0
1882,7
1883,12
1884,10
1885,6
1886,9
1887,5
1888,11
1889,0
1890,0
1891,5
1892,0
1893,0
1894,5
1895,0
1896,7
1897,5
1898,14
1899,23
1900,12
1901,0
1902,9
1903,8
1904,0
1905,6
1906,9
1907,8
1908,7
1909,16
1910,11
1911,7
1912,16
1913,17
1914,13
1915,30
1916,41
1917,33
1918,27
1919,29
1920,39
1921,32
1922,27
1923,25
1924,25
1925,31
1926,27
1927,22
1928,29
1929,30
1930,19
1931,19
1932,17
1933,24
1934,16
1935,9
1936,12
1937,17
1938,17
1939,21
1940,24
1941,17
1942,15
1943,20
1944,18
1945,14
1946,18
1947,18
1948,15
1949,9
1950,19
1951,19
1952,13
1953,16
1954,0
1955,14
1956,17
1957,11
1958,10
1959,10
1960,9
1961,0
1962,13
1963,10
1964,6
1965,6
1966,7
1967,0
1968,6
1969,0
1970,10
1971,0
1972,7
1973,6
1974,0
1975,0
1976,5
1977,5
1978,9
1979,5
1980,0
1981,0
1982,6
1983,0
1984,7
1985,7
1986,5
1987,5
1988,0
1989,0
1990,8
1991,0
1992,12
1993,9
1994,14
1995,0
1996,12
1997,0
1998,8
1999,10
2000,7
2001,10
2002,9
2003,11
2004,14
2005,6
2006,7
2007,7
2008,14
2009,19
2010,17
2011,17
2012,17
