year,Willie (F),Willie (M)
1880,0.000953,0.002362
1881,0.001188,0.002584
1882,0.001314,0.002442
1883,0.001217,0.002185
1884,0.001364,0.002374
1885,0.001295,0.002549
1886,0.001520,0.002511
1887,0.001532,0.002385
1888,0.001743,0.002625
1889,0.001689,0.002450
1890,0.001918,0.002515
1891,0.001960,0.002578
1892,0.001887,0.002835
1893,0.001992,0.002712
1894,0.002093,0.002911
1895,0.002063,0.003051
1896,0.002112,0.003055
1897,0.002358,0.003317
1898,0.002302,0.002973
1899,0.002376,0.003207
1900,0.003000,0.004693
1901,0.002605,0.003742
1902,0.002769,0.004047
1903,0.002660,0.003814
1904,0.002944,0.004151
1905,0.003031,0.004204
1906,0.002878,0.004098
1907,0.002995,0.004229
1908,0.002806,0.004019
1909,0.003030,0.004254
1910,0.003040,0.004904
1911,0.002541,0.003868
1912,0.002294,0.003550
1913,0.001991,0.003307
1914,0.001948,0.003325
1915,0.001660,0.002965
1916,0.001611,0.002926
1917,0.001685,0.002866
1918,0.001781,0.003011
1919,0.001919,0.003290
1920,0.001687,0.003044
1921,0.001605,0.002780
1922,0.001697,0.003016
1923,0.001722,0.002894
1924,0.001676,0.002814
1925,0.001691,0.003053
1926,0.001663,0.002970
1927,0.001675,0.003005
1928,0.001523,0.003016
1929,0.001514,0.003018
1930,0.001357,0.002999
1931,0.001234,0.002835
1932,0.001262,0.003101
1933,0.001224,0.002992
1934,0.001150,0.003057
1935,0.001135,0.003029
1936,0.001071,0.002893
1937,0.001029,0.002923
1938,0.000913,0.002749
1939,0.000885,0.002862
1940,0.000841,0.002682
1941,0.000763,0.002681
1942,0.000757,0.002595
1943,0.000706,0.002544
1944,0.000704,0.002675
1945,0.000670,0.002648
1946,0.000528,0.002296
1947,0.000467,0.002220
1948,0.000483,0.002308
1949,0.000439,0.002272
1950,0.000382,0.002204
1951,0.000346,0.001961
1952,0.000316,0.001895
1953,0.000300,0.001831
1954,0.000279,0.001717
1955,0.000232,0.001651
1956,0.000226,0.001579
1957,0.000187,0.001478
1958,0.000169,0.001378
1959,0.000152,0.001292
1960,0.000142,0.001263
1961,0.000121,0.001155
1962,0.000116,0.001126
1963,0.000103,0.001059
1964,0.000104,0.001068
1965,0.000092,0.001050
1966,0.000080,0.001021
1967,0.000071,0.000998
1968,0.000061,0.000920
1969,0.000056,0.000877
1970,0.000046,0.000870
1971,0.000040,0.000834
1972,0.000042,0.000825
1973,0.000039,0.000793
1974,0.000035,0.000730
1975,0.000029,0.000720
1976,0.000027,0.000704
1977,0.000020,0.000681
1978,0.000021,0.000672
1979,0.000018,0.000647
1980,0.000018,0.000629
1981,0.000016,0.000568
1982,0.000016,0.000558
1983,0.000013,0.000509
1984,0.000015,0.000460
1985,0.000010,0.000441
1986,0.000010,0.000419
1987,0.000012,0.000410
1988,0.000009,0.000386
1989,0.000010,0.000380
1990,0.000004,0.000348
1991,0.000004,0.000339
1992,0.000006,0.000316
1993,0.000007,0.000282
1994,0.000005,0.000253
1995,0.000003,0.000225
1996,0.000003,0.000219
1997,0.000002,0.000213
1998,0.000002,0.000201
1999,0.000000,0.000181
2000,0.000002,0.000161
2001,0.000000,0.000162
2002,0.000000,0.000152
2003,0.000000,0.000147
2004,0.000000,0.000129
2005,0.000000,0.000125
2006,0.000000,0.000128
2007,0.000002,0.000118
2008,0.000000,0.000117
2009,0.000001,0.000105
2010,0.000000,0.000105
2011,0.000000,0.000107
2012,0.000000,0.000101
2013,0.000001,0.000091
2014,0.000000,0.000089
2015,0.000000,0.000083
2016,0.000000,0.000080
2017,0.000001,0.000080
2018,0.000001,0.000064
2019,0.000001,0.000060
2020,0.000000,0.000064
