year,Wyman
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,5
1903,0
1904,6
1905,0
1906,5
1907,5
1908,9
1909,10
1910,5
1911,21
1912,14
1913,10
1914,24
1915,25
1916,41
1917,37
1918,33
1919,45
1920,47
1921,61
1922,63
1923,53
1924,54
1925,45
1926,41
1927,42
1928,37
1929,36
1930,29
1931,50
1932,47
1933,40
1934,42
1935,46
1936,42
1937,35
1938,41
1939,32
1940,35
1941,48
1942,45
1943,43
1944,46
1945,41
1946,43
1947,52
1948,41
1949,47
1950,49
1951,46
1952,52
1953,57
1954,41
1955,45
1956,51
1957,35
1958,44
1959,43
1960,35
1961,35
1962,36
1963,32
1964,39
1965,29
1966,25
1967,30
1968,24
1969,28
1970,25
1971,32
1972,23
1973,22
1974,19
1975,27
1976,26
1977,22
1978,14
1979,11
1980,16
1981,15
1982,18
1983,9
1984,18
1985,13
1986,9
1987,13
1988,11
1989,13
1990,20
1991,5
1992,12
1993,9
1994,8
1995,15
1996,17
1997,11
1998,13
1999,5
2000,8
2001,8
2002,6
2003,12
2004,9
2005,6
2006,9
2007,8
2008,5
2009,11
2010,5
2011,6
2012,5
