year,Winnifred
1880,9
1881,8
1882,18
1883,16
1884,11
1885,22
1886,18
1887,21
1888,36
1889,21
1890,24
1891,21
1892,26
1893,27
1894,31
1895,32
1896,31
1897,24
1898,32
1899,30
1900,40
1901,32
1902,28
1903,33
1904,34
1905,25
1906,35
1907,45
1908,41
1909,39
1910,47
1911,66
1912,65
1913,87
1914,94
1915,139
1916,161
1917,147
1918,166
1919,135
1920,160
1921,152
1922,159
1923,145
1924,131
1925,137
1926,125
1927,106
1928,75
1929,86
1930,65
1931,62
1932,68
1933,59
1934,57
1935,41
1936,60
1937,51
1938,39
1939,57
1940,43
1941,45
1942,41
1943,32
1944,26
1945,29
1946,23
1947,53
1948,33
1949,36
1950,36
1951,30
1952,35
1953,21
1954,23
1955,28
1956,18
1957,25
1958,19
1959,19
1960,12
1961,8
1962,16
1963,11
1964,17
1965,14
1966,6
1967,10
1968,7
1969,14
1970,7
1971,10
1972,6
1973,7
1974,13
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,7
1990,5
1991,7
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,7
2002,0
2003,0
2004,0
2005,6
2006,0
2007,7
2008,6
2009,7
2010,6
2011,8
2012,0
