year,Willow
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,8
1905,0
1906,8
1907,5
1908,9
1909,5
1910,0
1911,0
1912,6
1913,12
1914,11
1915,23
1916,20
1917,10
1918,15
1919,14
1920,20
1921,23
1922,15
1923,27
1924,32
1925,27
1926,35
1927,23
1928,30
1929,26
1930,19
1931,24
1932,26
1933,24
1934,23
1935,14
1936,24
1937,13
1938,22
1939,19
1940,16
1941,15
1942,12
1943,14
1944,23
1945,21
1946,20
1947,24
1948,18
1949,12
1950,14
1951,13
1952,11
1953,17
1954,12
1955,21
1956,17
1957,12
1958,9
1959,13
1960,15
1961,13
1962,12
1963,11
1964,20
1965,11
1966,14
1967,10
1968,15
1969,17
1970,20
1971,33
1972,32
1973,43
1974,53
1975,52
1976,66
1977,64
1978,75
1979,66
1980,58
1981,41
1982,40
1983,31
1984,29
1985,37
1986,22
1987,21
1988,25
1989,35
1990,29
1991,61
1992,59
1993,50
1994,84
1995,90
1996,133
1997,175
1998,255
1999,320
2000,307
2001,379
2002,552
2003,543
2004,526
2005,549
2006,582
2007,778
2008,791
2009,1047
2010,1123
2011,1570
2012,1829
