year,Walter (F),Walter (M)
1880,0.000040,0.008710
1881,0.000057,0.008666
1882,0.000032,0.008148
1883,0.000023,0.007859
1884,0.000029,0.007812
1885,0.000029,0.007507
1886,0.000043,0.007363
1887,0.000000,0.006892
1888,0.000017,0.006812
1889,0.000031,0.006631
1890,0.000040,0.006320
1891,0.000035,0.005818
1892,0.000030,0.006666
1893,0.000046,0.006162
1894,0.000050,0.005935
1895,0.000031,0.005740
1896,0.000025,0.005642
1897,0.000049,0.005462
1898,0.000029,0.005248
1899,0.000018,0.005156
1900,0.000024,0.005103
1901,0.000049,0.004971
1902,0.000031,0.004804
1903,0.000034,0.004827
1904,0.000032,0.004642
1905,0.000021,0.004486
1906,0.000028,0.004514
1907,0.000045,0.004501
1908,0.000012,0.004486
1909,0.000029,0.004474
1910,0.000019,0.004395
1911,0.000019,0.004771
1912,0.000039,0.005878
1913,0.000035,0.006059
1914,0.000026,0.006328
1915,0.000030,0.006144
1916,0.000038,0.006079
1917,0.000038,0.006270
1918,0.000037,0.006145
1919,0.000031,0.006102
1920,0.000030,0.005877
1921,0.000032,0.005568
1922,0.000036,0.005518
1923,0.000034,0.005402
1924,0.000036,0.005332
1925,0.000042,0.005197
1926,0.000040,0.005123
1927,0.000040,0.004893
1928,0.000039,0.004710
1929,0.000046,0.004496
1930,0.000038,0.004374
1931,0.000034,0.004249
1932,0.000036,0.004102
1933,0.000028,0.003882
1934,0.000029,0.003893
1935,0.000027,0.003738
1936,0.000017,0.003628
1937,0.000024,0.003513
1938,0.000018,0.003416
1939,0.000023,0.003321
1940,0.000017,0.003356
1941,0.000016,0.003179
1942,0.000016,0.003177
1943,0.000017,0.003203
1944,0.000016,0.003034
1945,0.000011,0.002856
1946,0.000013,0.002711
1947,0.000010,0.002557
1948,0.000008,0.002501
1949,0.000009,0.002381
1950,0.000010,0.002222
1951,0.000009,0.002180
1952,0.000007,0.002082
1953,0.000009,0.001947
1954,0.000009,0.001879
1955,0.000009,0.001816
1956,0.000008,0.001703
1957,0.000007,0.001596
1958,0.000008,0.001528
1959,0.000009,0.001472
1960,0.000007,0.001387
1961,0.000009,0.001318
1962,0.000008,0.001310
1963,0.000007,0.001280
1964,0.000004,0.001246
1965,0.000005,0.001238
1966,0.000007,0.001166
1967,0.000006,0.001123
1968,0.000009,0.001063
1969,0.000008,0.001027
1970,0.000009,0.000994
1971,0.000008,0.000979
1972,0.000010,0.000927
1973,0.000005,0.000872
1974,0.000004,0.000820
1975,0.000008,0.000781
1976,0.000007,0.000693
1977,0.000004,0.000688
1978,0.000007,0.000627
1979,0.000007,0.000637
1980,0.000005,0.000585
1981,0.000005,0.000575
1982,0.000005,0.000545
1983,0.000003,0.000510
1984,0.000003,0.000484
1985,0.000006,0.000474
1986,0.000003,0.000482
1987,0.000006,0.000437
1988,0.000006,0.000436
1989,0.000002,0.000419
1990,0.000002,0.000408
1991,0.000000,0.000395
1992,0.000003,0.000370
1993,0.000002,0.000360
1994,0.000002,0.000309
1995,0.000002,0.000290
1996,0.000000,0.000284
1997,0.000000,0.000283
1998,0.000000,0.000244
1999,0.000000,0.000249
2000,0.000000,0.000251
2001,0.000000,0.000221
2002,0.000000,0.000223
2003,0.000000,0.000204
2004,0.000000,0.000200
2005,0.000000,0.000200
2006,0.000000,0.000215
2007,0.000000,0.000203
2008,0.000000,0.000195
2009,0.000000,0.000207
2010,0.000000,0.000212
2011,0.000000,0.000218
2012,0.000000,0.000219
2013,0.000000,0.000258
