year,Whit
1880,0
1881,6
1882,5
1883,6
1884,6
1885,0
1886,10
1887,0
1888,6
1889,0
1890,0
1891,8
1892,5
1893,0
1894,5
1895,5
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,5
1903,8
1904,0
1905,7
1906,5
1907,0
1908,0
1909,5
1910,0
1911,6
1912,0
1913,10
1914,9
1915,8
1916,11
1917,11
1918,9
1919,13
1920,12
1921,7
1922,6
1923,15
1924,19
1925,9
1926,8
1927,7
1928,9
1929,7
1930,5
1931,8
1932,7
1933,5
1934,5
1935,9
1936,0
1937,0
1938,7
1939,0
1940,9
1941,5
1942,5
1943,8
1944,6
1945,7
1946,0
1947,7
1948,0
1949,8
1950,0
1951,5
1952,11
1953,11
1954,10
1955,5
1956,10
1957,12
1958,11
1959,5
1960,5
1961,11
1962,7
1963,6
1964,9
1965,5
1966,5
1967,0
1968,7
1969,8
1970,10
1971,11
1972,0
1973,6
1974,8
1975,0
1976,6
1977,0
1978,5
1979,6
1980,6
1981,5
1982,0
1983,0
1984,8
1985,6
1986,5
1987,0
1988,6
1989,0
1990,8
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,7
2001,6
2002,6
2003,6
2004,5
2005,12
2006,10
2007,11
2008,11
2009,15
2010,9
2011,17
2012,19
