year,Woodson
1880,8
1881,0
1882,5
1883,0
1884,8
1885,0
1886,9
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,8
1894,8
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,7
1905,5
1906,0
1907,0
1908,0
1909,7
1910,5
1911,7
1912,12
1913,18
1914,16
1915,27
1916,30
1917,29
1918,27
1919,16
1920,23
1921,17
1922,15
1923,18
1924,22
1925,17
1926,15
1927,12
1928,20
1929,11
1930,9
1931,13
1932,10
1933,17
1934,8
1935,17
1936,14
1937,9
1938,9
1939,14
1940,10
1941,10
1942,16
1943,16
1944,17
1945,11
1946,13
1947,14
1948,22
1949,7
1950,7
1951,13
1952,16
1953,9
1954,9
1955,5
1956,10
1957,12
1958,0
1959,9
1960,8
1961,6
1962,7
1963,6
1964,0
1965,7
1966,9
1967,0
1968,9
1969,5
1970,0
1971,0
1972,0
1973,6
1974,0
1975,0
1976,0
1977,0
1978,6
1979,0
1980,8
1981,7
1982,10
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,7
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,6
2001,7
2002,8
2003,0
2004,6
2005,0
2006,5
2007,5
2008,10
2009,8
2010,5
2011,10
2012,15
