year,Wes
1880,5
1881,0
1882,0
1883,0
1884,7
1885,0
1886,5
1887,6
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,9
1915,0
1916,0
1917,0
1918,0
1919,0
1920,6
1921,6
1922,5
1923,0
1924,6
1925,0
1926,6
1927,0
1928,5
1929,5
1930,0
1931,5
1932,0
1933,6
1934,7
1935,9
1936,0
1937,6
1938,6
1939,12
1940,0
1941,9
1942,6
1943,19
1944,14
1945,22
1946,21
1947,30
1948,22
1949,17
1950,15
1951,26
1952,24
1953,33
1954,28
1955,38
1956,34
1957,69
1958,95
1959,121
1960,138
1961,131
1962,130
1963,156
1964,127
1965,100
1966,95
1967,75
1968,76
1969,83
1970,86
1971,83
1972,66
1973,38
1974,44
1975,36
1976,39
1977,68
1978,53
1979,57
1980,52
1981,40
1982,44
1983,44
1984,35
1985,40
1986,45
1987,28
1988,32
1989,30
1990,35
1991,26
1992,22
1993,20
1994,18
1995,21
1996,21
1997,18
1998,28
1999,19
2000,26
2001,33
2002,33
2003,37
2004,39
2005,49
2006,66
2007,56
2008,75
2009,66
2010,84
2011,83
2012,94
