year,Werner
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,7
1890,0
1891,0
1892,0
1893,7
1894,8
1895,0
1896,0
1897,6
1898,0
1899,0
1900,6
1901,8
1902,5
1903,7
1904,6
1905,7
1906,8
1907,6
1908,7
1909,9
1910,12
1911,15
1912,22
1913,34
1914,48
1915,74
1916,79
1917,77
1918,64
1919,66
1920,71
1921,60
1922,53
1923,70
1924,60
1925,63
1926,83
1927,82
1928,80
1929,74
1930,93
1931,77
1932,74
1933,64
1934,45
1935,66
1936,46
1937,64
1938,51
1939,39
1940,51
1941,34
1942,44
1943,41
1944,25
1945,25
1946,23
1947,30
1948,22
1949,19
1950,24
1951,26
1952,22
1953,40
1954,26
1955,40
1956,37
1957,35
1958,46
1959,35
1960,52
1961,39
1962,28
1963,34
1964,43
1965,44
1966,26
1967,31
1968,26
1969,32
1970,16
1971,14
1972,12
1973,14
1974,15
1975,7
1976,9
1977,9
1978,10
1979,6
1980,14
1981,7
1982,0
1983,8
1984,9
1985,12
1986,10
1987,5
1988,0
1989,7
1990,10
1991,15
1992,12
1993,7
1994,11
1995,13
1996,6
1997,7
1998,8
1999,7
2000,9
2001,19
2002,11
2003,9
2004,5
2005,6
2006,7
2007,15
2008,9
2009,8
2010,6
2011,11
2012,10
