year,Waverly
1880,0
1881,5
1882,0
1883,0
1884,5
1885,0
1886,7
1887,0
1888,6
1889,6
1890,0
1891,0
1892,6
1893,6
1894,5
1895,9
1896,8
1897,6
1898,7
1899,0
1900,13
1901,5
1902,0
1903,7
1904,0
1905,10
1906,5
1907,8
1908,0
1909,5
1910,8
1911,13
1912,10
1913,11
1914,21
1915,20
1916,23
1917,23
1918,19
1919,38
1920,30
1921,28
1922,33
1923,35
1924,39
1925,33
1926,34
1927,30
1928,25
1929,42
1930,24
1931,22
1932,33
1933,31
1934,27
1935,22
1936,29
1937,28
1938,27
1939,30
1940,17
1941,35
1942,30
1943,27
1944,29
1945,27
1946,40
1947,34
1948,42
1949,35
1950,41
1951,51
1952,35
1953,37
1954,32
1955,33
1956,45
1957,38
1958,24
1959,37
1960,36
1961,31
1962,32
1963,36
1964,24
1965,12
1966,24
1967,20
1968,23
1969,13
1970,24
1971,19
1972,10
1973,15
1974,19
1975,17
1976,21
1977,9
1978,21
1979,9
1980,16
1981,12
1982,8
1983,15
1984,10
1985,10
1986,8
1987,5
1988,11
1989,17
1990,17
1991,8
1992,10
1993,10
1994,58
1995,58
1996,35
1997,48
1998,35
1999,30
2000,34
2001,40
2002,30
2003,44
2004,27
2005,38
2006,40
2007,40
2008,56
2009,65
2010,61
2011,75
2012,76
