year,Woodie
1880,5
1881,8
1882,0
1883,6
1884,8
1885,7
1886,11
1887,6
1888,15
1889,0
1890,5
1891,9
1892,7
1893,8
1894,5
1895,7
1896,5
1897,5
1898,6
1899,0
1900,5
1901,6
1902,12
1903,13
1904,5
1905,9
1906,14
1907,7
1908,0
1909,0
1910,14
1911,16
1912,25
1913,40
1914,38
1915,43
1916,48
1917,47
1918,49
1919,50
1920,37
1921,32
1922,41
1923,33
1924,37
1925,25
1926,59
1927,41
1928,29
1929,22
1930,25
1931,35
1932,21
1933,36
1934,22
1935,26
1936,28
1937,30
1938,33
1939,35
1940,45
1941,52
1942,58
1943,48
1944,47
1945,44
1946,55
1947,48
1948,42
1949,29
1950,34
1951,32
1952,44
1953,30
1954,34
1955,30
1956,33
1957,25
1958,21
1959,20
1960,25
1961,18
1962,13
1963,10
1964,15
1965,15
1966,13
1967,14
1968,6
1969,16
1970,9
1971,13
1972,14
1973,9
1974,10
1975,7
1976,10
1977,5
1978,8
1979,0
1980,5
1981,7
1982,7
1983,0
1984,0
1985,5
1986,5
1987,0
1988,0
1989,5
1990,0
1991,6
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
