year,Winona
1880,6
1881,11
1882,9
1883,10
1884,6
1885,14
1886,9
1887,14
1888,16
1889,14
1890,14
1891,13
1892,20
1893,20
1894,22
1895,20
1896,25
1897,22
1898,30
1899,20
1900,18
1901,28
1902,29
1903,42
1904,32
1905,35
1906,49
1907,34
1908,51
1909,59
1910,65
1911,63
1912,108
1913,119
1914,139
1915,192
1916,219
1917,200
1918,223
1919,188
1920,222
1921,265
1922,261
1923,256
1924,289
1925,270
1926,224
1927,230
1928,223
1929,190
1930,221
1931,251
1932,197
1933,209
1934,199
1935,173
1936,166
1937,171
1938,170
1939,127
1940,129
1941,135
1942,109
1943,108
1944,92
1945,99
1946,90
1947,119
1948,94
1949,100
1950,120
1951,104
1952,113
1953,95
1954,100
1955,104
1956,121
1957,115
1958,105
1959,79
1960,90
1961,78
1962,90
1963,79
1964,78
1965,73
1966,73
1967,59
1968,55
1969,50
1970,48
1971,63
1972,60
1973,57
1974,48
1975,46
1976,53
1977,37
1978,34
1979,34
1980,37
1981,38
1982,21
1983,27
1984,15
1985,23
1986,13
1987,30
1988,16
1989,25
1990,34
1991,50
1992,56
1993,29
1994,39
1995,29
1996,29
1997,20
1998,27
1999,27
2000,28
2001,18
2002,22
2003,16
2004,17
2005,16
2006,22
2007,25
2008,15
2009,16
2010,20
2011,20
2012,32
