year,Westley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,8
1893,7
1894,0
1895,5
1896,10
1897,0
1898,0
1899,9
1900,13
1901,5
1902,8
1903,8
1904,8
1905,7
1906,6
1907,0
1908,10
1909,12
1910,9
1911,8
1912,14
1913,10
1914,16
1915,22
1916,20
1917,18
1918,24
1919,36
1920,22
1921,26
1922,23
1923,34
1924,28
1925,32
1926,25
1927,29
1928,15
1929,17
1930,27
1931,18
1932,28
1933,18
1934,16
1935,23
1936,11
1937,21
1938,18
1939,20
1940,22
1941,21
1942,28
1943,28
1944,20
1945,25
1946,23
1947,30
1948,48
1949,29
1950,26
1951,31
1952,31
1953,33
1954,39
1955,44
1956,44
1957,41
1958,21
1959,32
1960,31
1961,40
1962,41
1963,27
1964,39
1965,31
1966,44
1967,31
1968,53
1969,45
1970,60
1971,66
1972,41
1973,52
1974,54
1975,52
1976,65
1977,118
1978,105
1979,70
1980,84
1981,97
1982,76
1983,83
1984,79
1985,94
1986,148
1987,208
1988,276
1989,231
1990,194
1991,152
1992,146
1993,126
1994,130
1995,109
1996,80
1997,79
1998,91
1999,89
2000,65
2001,57
2002,90
2003,69
2004,65
2005,79
2006,81
2007,89
2008,105
2009,109
2010,108
2011,116
2012,140
