year,Vinita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,5
1902,0
1903,0
1904,0
1905,0
1906,8
1907,9
1908,11
1909,6
1910,8
1911,9
1912,9
1913,13
1914,14
1915,16
1916,14
1917,28
1918,20
1919,22
1920,24
1921,33
1922,26
1923,27
1924,26
1925,20
1926,15
1927,13
1928,14
1929,15
1930,12
1931,21
1932,16
1933,15
1934,14
1935,18
1936,11
1937,8
1938,15
1939,14
1940,14
1941,13
1942,14
1943,7
1944,10
1945,5
1946,9
1947,13
1948,7
1949,16
1950,10
1951,17
1952,16
1953,15
1954,13
1955,20
1956,16
1957,19
1958,18
1959,14
1960,13
1961,21
1962,19
1963,16
1964,5
1965,6
1966,9
1967,7
1968,16
1969,16
1970,23
1971,18
1972,11
1973,17
1974,0
1975,16
1976,10
1977,11
1978,13
1979,8
1980,9
1981,9
1982,6
1983,8
1984,11
1985,8
1986,12
1987,7
1988,6
1989,8
1990,0
1991,6
1992,7
1993,5
1994,8
1995,5
1996,7
1997,0
1998,0
1999,0
2000,0
2001,6
2002,5
2003,5
2004,0
2005,0
2006,0
2007,0
2008,6
2009,6
2010,0
2011,0
2012,0
