year,Velda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,13
1897,6
1898,0
1899,15
1900,14
1901,20
1902,13
1903,24
1904,19
1905,24
1906,28
1907,31
1908,35
1909,34
1910,47
1911,38
1912,70
1913,74
1914,135
1915,153
1916,125
1917,144
1918,175
1919,168
1920,190
1921,178
1922,131
1923,180
1924,155
1925,191
1926,141
1927,176
1928,175
1929,161
1930,160
1931,160
1932,154
1933,169
1934,128
1935,142
1936,131
1937,152
1938,126
1939,116
1940,103
1941,98
1942,105
1943,102
1944,71
1945,76
1946,78
1947,94
1948,89
1949,66
1950,89
1951,92
1952,104
1953,126
1954,130
1955,163
1956,157
1957,138
1958,127
1959,133
1960,119
1961,86
1962,76
1963,64
1964,57
1965,52
1966,38
1967,35
1968,28
1969,28
1970,29
1971,32
1972,15
1973,22
1974,10
1975,21
1976,15
1977,10
1978,16
1979,16
1980,14
1981,13
1982,13
1983,7
1984,0
1985,13
1986,10
1987,11
1988,7
1989,7
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,7
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
