year,Virgie
1880,41
1881,43
1882,52
1883,60
1884,78
1885,77
1886,99
1887,100
1888,119
1889,121
1890,154
1891,139
1892,155
1893,180
1894,177
1895,191
1896,211
1897,194
1898,210
1899,206
1900,265
1901,215
1902,210
1903,225
1904,267
1905,244
1906,224
1907,258
1908,307
1909,293
1910,299
1911,282
1912,354
1913,373
1914,412
1915,502
1916,523
1917,525
1918,581
1919,579
1920,550
1921,552
1922,579
1923,544
1924,545
1925,493
1926,448
1927,521
1928,452
1929,373
1930,426
1931,350
1932,357
1933,354
1934,304
1935,329
1936,324
1937,326
1938,270
1939,294
1940,304
1941,257
1942,238
1943,247
1944,225
1945,205
1946,205
1947,194
1948,196
1949,157
1950,164
1951,134
1952,150
1953,145
1954,136
1955,127
1956,108
1957,113
1958,109
1959,104
1960,86
1961,87
1962,57
1963,71
1964,69
1965,61
1966,49
1967,43
1968,40
1969,43
1970,33
1971,39
1972,22
1973,19
1974,25
1975,24
1976,20
1977,27
1978,12
1979,13
1980,21
1981,18
1982,18
1983,9
1984,10
1985,14
1986,11
1987,0
1988,9
1989,8
1990,9
1991,9
1992,9
1993,0
1994,6
1995,0
1996,6
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
