year,Verona
1880,5
1881,5
1882,8
1883,0
1884,0
1885,5
1886,5
1887,0
1888,10
1889,9
1890,11
1891,6
1892,16
1893,10
1894,17
1895,19
1896,22
1897,11
1898,18
1899,24
1900,22
1901,23
1902,18
1903,20
1904,22
1905,60
1906,65
1907,35
1908,39
1909,39
1910,43
1911,51
1912,69
1913,71
1914,90
1915,94
1916,103
1917,92
1918,106
1919,103
1920,111
1921,103
1922,110
1923,106
1924,91
1925,65
1926,69
1927,90
1928,62
1929,84
1930,88
1931,66
1932,63
1933,54
1934,68
1935,40
1936,32
1937,48
1938,34
1939,43
1940,41
1941,37
1942,45
1943,48
1944,38
1945,37
1946,41
1947,41
1948,30
1949,35
1950,34
1951,20
1952,23
1953,29
1954,33
1955,26
1956,26
1957,30
1958,25
1959,29
1960,21
1961,17
1962,14
1963,19
1964,31
1965,18
1966,22
1967,17
1968,17
1969,10
1970,23
1971,18
1972,15
1973,8
1974,15
1975,9
1976,12
1977,9
1978,8
1979,0
1980,0
1981,0
1982,6
1983,7
1984,9
1985,0
1986,9
1987,5
1988,0
1989,6
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,7
1999,0
2000,5
2001,5
2002,8
2003,8
2004,13
2005,12
2006,11
2007,9
2008,10
2009,18
2010,30
2011,29
2012,29
