year,Valarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,7
1913,8
1914,6
1915,8
1916,9
1917,16
1918,12
1919,8
1920,10
1921,7
1922,13
1923,18
1924,10
1925,15
1926,17
1927,15
1928,12
1929,9
1930,8
1931,17
1932,10
1933,16
1934,15
1935,27
1936,24
1937,16
1938,32
1939,26
1940,28
1941,46
1942,42
1943,62
1944,53
1945,54
1946,75
1947,101
1948,162
1949,234
1950,204
1951,230
1952,279
1953,281
1954,329
1955,332
1956,342
1957,403
1958,480
1959,527
1960,533
1961,540
1962,515
1963,560
1964,639
1965,498
1966,473
1967,463
1968,497
1969,445
1970,412
1971,357
1972,314
1973,337
1974,283
1975,291
1976,300
1977,357
1978,287
1979,316
1980,298
1981,302
1982,317
1983,305
1984,289
1985,266
1986,226
1987,208
1988,176
1989,192
1990,175
1991,134
1992,122
1993,117
1994,127
1995,127
1996,130
1997,121
1998,118
1999,110
2000,99
2001,99
2002,111
2003,102
2004,90
2005,102
2006,91
2007,100
2008,100
2009,82
2010,75
2011,59
2012,36
