year,Vander
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,8
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,5
1908,6
1909,0
1910,5
1911,5
1912,8
1913,0
1914,13
1915,10
1916,8
1917,9
1918,8
1919,10
1920,9
1921,9
1922,7
1923,12
1924,0
1925,7
1926,6
1927,9
1928,9
1929,12
1930,9
1931,8
1932,11
1933,0
1934,5
1935,5
1936,10
1937,8
1938,6
1939,7
1940,7
1941,9
1942,5
1943,6
1944,6
1945,10
1946,10
1947,6
1948,13
1949,13
1950,0
1951,15
1952,10
1953,8
1954,8
1955,8
1956,8
1957,8
1958,9
1959,8
1960,0
1961,11
1962,9
1963,6
1964,9
1965,9
1966,7
1967,6
1968,7
1969,0
1970,5
1971,6
1972,6
1973,10
1974,0
1975,0
1976,9
1977,0
1978,5
1979,7
1980,0
1981,0
1982,0
1983,5
1984,0
1985,7
1986,0
1987,5
1988,0
1989,8
1990,5
1991,9
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,8
2000,0
2001,10
2002,8
2003,10
2004,16
2005,12
2006,25
2007,25
2008,38
2009,40
2010,40
2011,51
2012,60
