year,Verdell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,6
1910,7
1911,6
1912,7
1913,13
1914,20
1915,33
1916,27
1917,23
1918,49
1919,43
1920,63
1921,64
1922,53
1923,67
1924,57
1925,71
1926,54
1927,63
1928,52
1929,62
1930,74
1931,61
1932,80
1933,51
1934,58
1935,81
1936,68
1937,75
1938,53
1939,67
1940,62
1941,55
1942,62
1943,70
1944,59
1945,72
1946,65
1947,65
1948,69
1949,61
1950,66
1951,66
1952,65
1953,65
1954,57
1955,48
1956,56
1957,47
1958,42
1959,48
1960,48
1961,32
1962,37
1963,36
1964,32
1965,26
1966,23
1967,21
1968,34
1969,26
1970,20
1971,21
1972,19
1973,23
1974,17
1975,5
1976,15
1977,17
1978,11
1979,16
1980,14
1981,13
1982,19
1983,5
1984,13
1985,9
1986,8
1987,5
1988,11
1989,6
1990,7
1991,10
1992,11
1993,12
1994,9
1995,7
1996,9
1997,0
1998,6
1999,8
2000,7
2001,0
2002,7
2003,5
2004,8
2005,7
2006,0
2007,6
2008,6
2009,0
2010,5
2011,0
2012,0
