year,Vallie
1880,6
1881,10
1882,9
1883,15
1884,27
1885,21
1886,18
1887,26
1888,29
1889,25
1890,27
1891,32
1892,38
1893,28
1894,36
1895,29
1896,30
1897,39
1898,37
1899,21
1900,40
1901,34
1902,42
1903,44
1904,32
1905,39
1906,28
1907,44
1908,42
1909,42
1910,39
1911,43
1912,74
1913,61
1914,76
1915,93
1916,88
1917,75
1918,77
1919,62
1920,48
1921,59
1922,60
1923,71
1924,62
1925,68
1926,66
1927,59
1928,56
1929,50
1930,44
1931,41
1932,46
1933,41
1934,37
1935,26
1936,26
1937,25
1938,42
1939,31
1940,29
1941,22
1942,27
1943,22
1944,28
1945,27
1946,15
1947,19
1948,34
1949,15
1950,26
1951,28
1952,25
1953,25
1954,11
1955,19
1956,14
1957,20
1958,17
1959,21
1960,14
1961,11
1962,15
1963,20
1964,10
1965,9
1966,7
1967,9
1968,0
1969,6
1970,9
1971,8
1972,0
1973,8
1974,5
1975,8
1976,9
1977,7
1978,7
1979,0
1980,7
1981,7
1982,6
1983,0
1984,5
1985,0
1986,0
1987,5
1988,5
1989,5
1990,5
1991,0
1992,8
1993,5
1994,0
1995,0
1996,9
1997,0
1998,6
1999,0
2000,0
2001,6
2002,0
2003,7
2004,0
2005,0
2006,0
2007,5
2008,0
2009,7
2010,7
2011,9
2012,6
