year,Vicenta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,8
1902,5
1903,0
1904,5
1905,7
1906,0
1907,14
1908,6
1909,0
1910,7
1911,12
1912,11
1913,10
1914,9
1915,16
1916,19
1917,18
1918,21
1919,16
1920,23
1921,30
1922,21
1923,25
1924,36
1925,20
1926,29
1927,23
1928,25
1929,24
1930,22
1931,20
1932,21
1933,16
1934,23
1935,18
1936,12
1937,16
1938,14
1939,12
1940,10
1941,16
1942,11
1943,13
1944,8
1945,13
1946,24
1947,8
1948,8
1949,14
1950,6
1951,13
1952,9
1953,10
1954,14
1955,9
1956,11
1957,7
1958,7
1959,7
1960,5
1961,10
1962,10
1963,5
1964,11
1965,5
1966,7
1967,7
1968,0
1969,7
1970,7
1971,11
1972,7
1973,6
1974,11
1975,6
1976,12
1977,5
1978,6
1979,0
1980,0
1981,14
1982,13
1983,9
1984,5
1985,10
1986,12
1987,8
1988,0
1989,6
1990,0
1991,5
1992,0
1993,12
1994,0
1995,0
1996,0
1997,7
1998,6
1999,10
2000,10
2001,6
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
