year,Venice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,6
1898,6
1899,6
1900,10
1901,8
1902,13
1903,7
1904,13
1905,6
1906,7
1907,8
1908,9
1909,13
1910,14
1911,15
1912,14
1913,19
1914,21
1915,32
1916,55
1917,43
1918,52
1919,41
1920,33
1921,63
1922,54
1923,26
1924,42
1925,33
1926,34
1927,35
1928,30
1929,34
1930,22
1931,22
1932,32
1933,28
1934,22
1935,16
1936,31
1937,15
1938,12
1939,11
1940,11
1941,14
1942,16
1943,15
1944,10
1945,9
1946,14
1947,22
1948,26
1949,17
1950,12
1951,7
1952,26
1953,32
1954,27
1955,25
1956,34
1957,31
1958,37
1959,31
1960,32
1961,35
1962,28
1963,28
1964,33
1965,22
1966,35
1967,21
1968,20
1969,19
1970,24
1971,26
1972,16
1973,12
1974,24
1975,12
1976,12
1977,29
1978,20
1979,21
1980,24
1981,20
1982,23
1983,13
1984,12
1985,11
1986,11
1987,20
1988,26
1989,14
1990,20
1991,17
1992,10
1993,17
1994,13
1995,16
1996,11
1997,10
1998,19
1999,14
2000,20
2001,19
2002,31
2003,22
2004,27
2005,31
2006,29
2007,42
2008,39
2009,35
2010,49
2011,37
2012,35
