year,Vincenza
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,5
1893,0
1894,6
1895,0
1896,6
1897,7
1898,5
1899,0
1900,12
1901,8
1902,8
1903,11
1904,8
1905,26
1906,13
1907,21
1908,22
1909,25
1910,29
1911,22
1912,41
1913,67
1914,73
1915,91
1916,90
1917,98
1918,115
1919,98
1920,101
1921,118
1922,122
1923,122
1924,115
1925,97
1926,108
1927,84
1928,84
1929,61
1930,68
1931,50
1932,45
1933,43
1934,34
1935,24
1936,34
1937,27
1938,30
1939,21
1940,20
1941,25
1942,19
1943,19
1944,15
1945,16
1946,23
1947,21
1948,23
1949,24
1950,16
1951,13
1952,16
1953,14
1954,21
1955,13
1956,15
1957,18
1958,18
1959,20
1960,14
1961,20
1962,12
1963,19
1964,21
1965,20
1966,20
1967,21
1968,16
1969,17
1970,25
1971,18
1972,17
1973,23
1974,15
1975,17
1976,20
1977,18
1978,20
1979,17
1980,11
1981,19
1982,18
1983,14
1984,14
1985,15
1986,14
1987,8
1988,11
1989,9
1990,9
1991,7
1992,11
1993,13
1994,12
1995,12
1996,11
1997,10
1998,0
1999,11
2000,7
2001,7
2002,13
2003,16
2004,16
2005,13
2006,8
2007,16
2008,11
2009,7
2010,20
2011,10
2012,16
