year,Valentina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,6
1901,8
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,9
1909,0
1910,8
1911,8
1912,12
1913,10
1914,22
1915,17
1916,17
1917,30
1918,27
1919,34
1920,36
1921,29
1922,40
1923,42
1924,29
1925,41
1926,32
1927,32
1928,28
1929,26
1930,39
1931,27
1932,21
1933,29
1934,22
1935,22
1936,16
1937,14
1938,21
1939,16
1940,28
1941,23
1942,26
1943,19
1944,17
1945,25
1946,15
1947,35
1948,29
1949,20
1950,41
1951,44
1952,72
1953,60
1954,57
1955,70
1956,62
1957,81
1958,53
1959,50
1960,67
1961,62
1962,63
1963,95
1964,86
1965,87
1966,90
1967,79
1968,73
1969,69
1970,58
1971,71
1972,64
1973,67
1974,47
1975,67
1976,60
1977,57
1978,56
1979,66
1980,75
1981,90
1982,67
1983,88
1984,62
1985,99
1986,94
1987,114
1988,91
1989,122
1990,135
1991,116
1992,120
1993,182
1994,195
1995,194
1996,203
1997,231
1998,256
1999,269
2000,325
2001,399
2002,426
2003,654
2004,611
2005,656
2006,724
2007,828
2008,1290
2009,1583
2010,1998
2011,2023
2012,1900
