year,Valeria
1880,0
1881,8
1882,6
1883,6
1884,9
1885,13
1886,11
1887,15
1888,15
1889,15
1890,16
1891,15
1892,21
1893,17
1894,32
1895,29
1896,22
1897,25
1898,42
1899,24
1900,33
1901,26
1902,28
1903,24
1904,41
1905,44
1906,43
1907,35
1908,41
1909,45
1910,60
1911,75
1912,91
1913,123
1914,152
1915,173
1916,226
1917,228
1918,243
1919,221
1920,234
1921,202
1922,198
1923,205
1924,212
1925,167
1926,193
1927,203
1928,152
1929,135
1930,137
1931,136
1932,131
1933,122
1934,113
1935,123
1936,97
1937,115
1938,110
1939,98
1940,95
1941,93
1942,94
1943,111
1944,82
1945,57
1946,93
1947,97
1948,127
1949,163
1950,175
1951,161
1952,178
1953,174
1954,183
1955,209
1956,222
1957,186
1958,229
1959,204
1960,177
1961,205
1962,209
1963,183
1964,268
1965,213
1966,192
1967,206
1968,208
1969,189
1970,176
1971,144
1972,123
1973,160
1974,139
1975,156
1976,130
1977,97
1978,115
1979,101
1980,100
1981,114
1982,146
1983,153
1984,140
1985,224
1986,211
1987,207
1988,223
1989,233
1990,318
1991,366
1992,671
1993,894
1994,793
1995,870
1996,855
1997,974
1998,1031
1999,1058
2000,1422
2001,1589
2002,1636
2003,1741
2004,1962
2005,2435
2006,3735
2007,3417
2008,4209
2009,4091
2010,3120
2011,2542
2012,2147
